A Matrix
NP->were 0.0453496093775
NN->were 0.0309105537547
JJ->were 0.0267598005197
IN->were 0.00979242203267
VB->were 0.0465758142341
TO->were 0.00177128002822
DT->were 0.0450035252346
PRP->were 0.0144347268477
RB->were 0.0235432914967
CC->were 0.0560494194503
NP->not nan
NN->not nan
JJ->not nan
IN->not nan
VB->not nan
TO->not nan
DT->not nan
PRP->not nan
RB->not nan
CC->not nan
NP->fully 0.0108068710486
NN->fully 0.0115655917092
JJ->fully 0.0201317498424
IN->fully 0.0535043476989
VB->fully 0.0346047701478
TO->fully 0.0854349569465
DT->fully 0.0515417820581
PRP->fully 0.0270706378595
RB->fully 0.0604083775691
CC->fully 0.0418152911314
NP->worked 0.0249157724092
NN->worked 0.0629251287123
JJ->worked 0.0450750690742
IN->worked 0.0540140308127
VB->worked 0.0156866549348
TO->worked 0.00161593149427
DT->worked 0.040815228113
PRP->worked 0.0409126216323
RB->worked 0.006208691477
CC->worked 0.0390793442839
NP->out 0.0225406968055
NN->out 0.000612832780798
JJ->out 0.0748236026364
IN->out 0.0734542091129
VB->out 0.00910852329372
TO->out 0.0501446607824
DT->out 0.0216692356281
PRP->out 0.0304126521523
RB->out 0.00878831238951
CC->out 0.0648170828705
NP->pelham 0.0223596060832
NN->pelham 0.0842226401877
JJ->pelham 0.0274110639264
IN->pelham 0.0366424946746
VB->pelham 0.0525672853827
TO->pelham 0.0663642792481
DT->pelham 0.0826217976767
PRP->pelham 0.0725243490057
RB->pelham 0.0443095878175
CC->pelham 0.0558761881755
NP->said nan
NN->said nan
JJ->said nan
IN->said nan
VB->said nan
TO->said nan
DT->said nan
PRP->said nan
RB->said nan
CC->said nan
NP->his 0.0118381316021
NN->his 0.00539462143962
JJ->his 0.0139187053188
IN->his 0.0564827432816
VB->his 0.029713040051
TO->his 0.0462893584031
DT->his 0.021932520407
PRP->his 0.0194242584702
RB->his 0.0379631086562
CC->his 0.0267511823986
NP->resolution 0.0144400916659
NN->resolution 0.026137409282
JJ->resolution 0.0141954842595
IN->resolution 0.00366641614403
VB->resolution 0.0114866835774
TO->resolution 0.01330528169
DT->resolution 0.0112996596572
PRP->resolution 0.0127851520626
RB->resolution 0.0129317225519
CC->resolution 0.0239192162008
NP->would 0.0287225514482
NN->would 0.017408618097
JJ->would 0.0193768996865
IN->would 0.048802139656
VB->would 0.00595543177932
TO->would 0.0269723131302
DT->would 0.0206417317309
PRP->would 0.000131899825487
RB->would 0.029874228669
CC->would 0.0387230571784
NP->seek 0.0209516231057
NN->seek 0.0144560520026
JJ->seek 0.0656303702219
IN->seek 0.0578291536753
VB->seek 0.065485309139
TO->seek 0.0468521752441
DT->seek 0.0216059333272
PRP->seek 0.0263062650247
RB->seek 0.0693398100716
CC->seek 0.0204695928514
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->set 0.0343897468269
NN->set 0.0172030711149
JJ->set 0.0237740749147
IN->set 0.0464708687596
VB->set 0.0330574126676
TO->set 0.0163721511881
DT->set 0.0137368663755
PRP->set 0.0150611761157
RB->set 0.0748477725901
CC->set 0.0561236802001
NP->aside 0.0602625761174
NN->aside 0.0477355594616
JJ->aside 0.0162047475721
IN->aside 0.0273249520593
VB->aside 0.009903896122
TO->aside 0.0378426199356
DT->aside 0.0205485561222
PRP->aside 0.0175618623138
RB->aside 0.00486578497117
CC->aside 0.047283655099
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->privilege 0.0386721564848
NN->privilege 0.0232829644769
JJ->privilege 0.0219520432179
IN->privilege 0.0417512653233
VB->privilege 0.0245915744452
TO->privilege 0.0366633110541
DT->privilege 0.0276551595831
PRP->privilege 0.0408302970197
RB->privilege 0.0112205472009
CC->privilege 0.00517669397134
NP->resolution 0.0144400916659
NN->resolution 0.026137409282
JJ->resolution 0.0141954842595
IN->resolution 0.00366641614403
VB->resolution 0.0114866835774
TO->resolution 0.01330528169
DT->resolution 0.0112996596572
PRP->resolution 0.0127851520626
RB->resolution 0.0129317225519
CC->resolution 0.0239192162008
NP->which nan
NN->which nan
JJ->which nan
IN->which nan
VB->which nan
TO->which nan
DT->which nan
PRP->which nan
RB->which nan
CC->which nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->house 0.0109775015122
NN->house 0.0209606532991
JJ->house 0.00592751277507
IN->house 0.00211088377078
VB->house 0.017827425837
TO->house 0.0228380741224
DT->house 0.00794995040263
PRP->house 0.0264638340666
RB->house 0.00605689134308
CC->house 0.010397535186
NP->voted 0.0451679366261
NN->voted 0.00594183798035
JJ->voted 0.00341544034959
IN->voted 0.0533363697357
VB->voted 0.0313151527452
TO->voted 0.00788512109139
DT->voted 0.00536900429149
PRP->voted 0.0021703640555
RB->voted 0.0234430060984
CC->voted 0.0187139212747
NP->through nan
NN->through nan
JJ->through nan
IN->through nan
VB->through nan
TO->through nan
DT->through nan
PRP->through nan
RB->through nan
CC->through nan
NP->8731 0.0138580958195
NN->8731 0.0261870971378
JJ->8731 0.0137856904489
IN->8731 0.059031974013
VB->8731 0.0653157038614
TO->8731 0.0938517012108
DT->8731 0.00208398064965
PRP->8731 0.0525307530135
RB->8731 0.0538322714388
CC->8731 0.0563118341157
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->similar 0.0247525245552
NN->similar 0.0209765335956
JJ->similar 0.0502765201397
IN->similar 0.045579172915
VB->similar 0.0336809808931
TO->similar 0.0353475429237
DT->similar 0.00837090962154
PRP->similar 0.0203103503486
RB->similar 0.04730864667
CC->similar 0.0600607620006
NP->resolution 0.0144400916659
NN->resolution 0.026137409282
JJ->resolution 0.0141954842595
IN->resolution 0.00366641614403
VB->resolution 0.0114866835774
TO->resolution 0.01330528169
DT->resolution 0.0112996596572
PRP->resolution 0.0127851520626
RB->resolution 0.0129317225519
CC->resolution 0.0239192162008
NP->passed 0.0233373286531
NN->passed 0.0322243926254
JJ->passed 0.00974950773735
IN->passed 0.000453858176859
VB->passed 0.0029698428214
TO->passed 0.0301217605774
DT->passed 0.0355498921733
PRP->passed 0.0415200748353
RB->passed 0.0314486530326
CC->passed 0.00834459280052
NP->in nan
NN->in nan
JJ->in nan
IN->in nan
VB->in nan
TO->in nan
DT->in nan
PRP->in nan
RB->in nan
CC->in nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->senate 0.0169387087532
NN->senate 0.0120901860342
JJ->senate 0.0165025407359
IN->senate 0.0344945948817
VB->senate 0.0413398970224
TO->senate 0.0574766896968
DT->senate 0.0450060168764
PRP->senate 0.0287666969768
RB->senate 0.0052794338397
CC->senate 0.0217514095489
NP->by nan
NN->by nan
JJ->by nan
IN->by nan
VB->by nan
TO->by nan
DT->by nan
PRP->by nan
RB->by nan
CC->by nan
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->vote 0.0522454136973
NN->vote 0.0055070140845
JJ->vote 0.0867597029651
IN->vote 0.0387871322135
VB->vote 0.0497049016758
TO->vote 0.0443474047639
DT->vote 0.0402472390111
PRP->vote 0.0422799112763
RB->vote 0.0409946631465
CC->vote 0.0444298935365
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->295 0.00458113580807
NN->295 0.0336497624293
JJ->295 0.0367948336128
IN->295 0.0307842425714
VB->295 0.0379100563606
TO->295 0.0300514199069
DT->295 0.0536526074282
PRP->295 0.0298875840443
RB->295 0.0586149923307
CC->295 0.0203446864517
NP->as nan
NN->as nan
JJ->as nan
IN->as nan
VB->as nan
TO->as nan
DT->as nan
PRP->as nan
RB->as nan
CC->as nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->sunday 0.011707608752
NN->sunday 0.0504467179787
JJ->sunday 0.041951559893
IN->sunday 0.0232029755585
VB->sunday 0.0560589061675
TO->sunday 0.0320511029007
DT->sunday 0.0044262398155
PRP->sunday 0.0440335963876
RB->sunday 0.0209681557044
CC->sunday 0.00925818609996
NP->night 0.0320630324111
NN->night 0.00836765180428
JJ->night 0.0263693530235
IN->night 0.00140163861309
VB->night 0.00303570979267
TO->night 0.0641052121534
DT->night 0.0710633483808
PRP->night 0.0536905206757
RB->night 0.0185687170736
CC->night 0.0738944221669
NP->there nan
NN->there nan
JJ->there nan
IN->there nan
VB->there nan
TO->there nan
DT->there nan
PRP->there nan
RB->there nan
CC->there nan
NP->was nan
NN->was nan
JJ->was nan
IN->was nan
VB->was nan
TO->was nan
DT->was nan
PRP->was nan
RB->was nan
CC->was nan
NP->no 1.35744295237e-26
NN->no 6.52798890529e-77
JJ->no 1.70080452018e-84
IN->no 0.488122020866
VB->no 7.57140637672e-101
TO->no 1.48647669227e-59
DT->no 2.00639136772e-73
PRP->no 3.15140315039e-10
RB->no 1.11181755385e-62
CC->no 4.28827258258e-73
NP->word 0.0216142559356
NN->word 0.0489624919282
JJ->word 0.0585007652068
IN->word 0.039998683145
VB->word 0.04708511341
TO->word 0.00998713962638
DT->word 0.0638641915681
PRP->word 0.0207431050767
RB->word 0.0331082788842
CC->word 0.0336175531351
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->resolution 0.0144400916659
NN->resolution 0.026137409282
JJ->resolution 0.0141954842595
IN->resolution 0.00366641614403
VB->resolution 0.0114866835774
TO->resolution 0.01330528169
DT->resolution 0.0112996596572
PRP->resolution 0.0127851520626
RB->resolution 0.0129317225519
CC->resolution 0.0239192162008
NP->being 0.00175799919218
NN->being 0.000256054112645
JJ->being 0.000501398062834
IN->being 0.00132042636956
VB->being 0.00157314244342
TO->being 0.000736552015015
DT->being 0.00175055611959
PRP->being 0.00142205459075
RB->being 0.00256155958966
CC->being 0.000425391451627
NP->offered 0.0574723366304
NN->offered 0.0642154996386
JJ->offered 0.0283051787661
IN->offered 0.0363172331815
VB->offered 0.00423923879758
TO->offered 0.0205429210205
DT->offered 0.00678269538412
PRP->offered 0.00372827282288
RB->offered 0.00168233680682
CC->offered 0.00817107070341
NP->there nan
NN->there nan
JJ->there nan
IN->there nan
VB->there nan
TO->there nan
DT->there nan
PRP->there nan
RB->there nan
CC->there nan
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->rescind 0.0480420972216
NN->rescind 0.0125688412538
JJ->rescind 0.00963112278643
IN->rescind 0.0585092176663
VB->rescind 0.0561386351016
TO->rescind 0.048482401025
DT->rescind 0.0321721177611
PRP->rescind 0.0592811729428
RB->rescind 0.0141833169643
CC->rescind 0.0150091936014
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->action 0.0508668260443
NN->action 0.0265863769532
JJ->action 0.0537834035005
IN->action 0.0311263525024
VB->action 0.0384986559252
TO->action 0.0236469636722
DT->action 0.029981415271
PRP->action 0.0575541264753
RB->action 0.0558219822459
CC->action 0.0211039983308
NP-> 0.0576155147741
NN-> 0.0455286921651
JJ-> 0.057286653258
IN-> 0.0177295352845
VB-> 0.0523560097744
TO-> 0.012885165813
DT-> 0.00354078219835
PRP-> 0.0538279702145
RB-> 0.0157681676407
CC-> 0.00696579805246
NP->pelham 0.0223596060832
NN->pelham 0.0842226401877
JJ->pelham 0.0274110639264
IN->pelham 0.0366424946746
VB->pelham 0.0525672853827
TO->pelham 0.0663642792481
DT->pelham 0.0826217976767
PRP->pelham 0.0725243490057
RB->pelham 0.0443095878175
CC->pelham 0.0558761881755
NP->pointed 0.033714302965
NN->pointed 0.0756592132475
JJ->pointed 0.0357470400723
IN->pointed 0.0629924944167
VB->pointed 0.00557880410355
TO->pointed 0.0407952303006
DT->pointed 0.0634278725135
PRP->pointed 0.0568232628965
RB->pointed 0.0183581071427
CC->pointed 0.00997939371395
NP->out 0.0225406968055
NN->out 0.000612832780798
JJ->out 0.0748236026364
IN->out 0.0734542091129
VB->out 0.00910852329372
TO->out 0.0501446607824
DT->out 0.0216692356281
PRP->out 0.0304126521523
RB->out 0.00878831238951
CC->out 0.0648170828705
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->georgia 0.0562948761157
NN->georgia 0.0199158945758
JJ->georgia 0.0656372352878
IN->georgia 0.0571843954684
VB->georgia 0.0661916212228
TO->georgia 0.0507408017135
DT->georgia 0.0102122162459
PRP->georgia 0.0608095156439
RB->georgia 0.0043397746562
CC->georgia 0.0742378696014
NP->voters nan
NN->voters nan
JJ->voters nan
IN->voters nan
VB->voters nan
TO->voters nan
DT->voters nan
PRP->voters nan
RB->voters nan
CC->voters nan
NP->last 0.0183158370977
NN->last 0.0727749969631
JJ->last 0.0385227250426
IN->last 0.00978250342453
VB->last 0.0855923059962
TO->last 0.0330227193906
DT->last 0.049166419383
PRP->last 0.0317181642325
RB->last 0.0366442523434
CC->last 0.0322175672587
NP->november 0.0547847742777
NN->november 0.00363713700781
JJ->november 0.0400274433115
IN->november 0.0404681237365
VB->november 0.0284269152497
TO->november 0.0237455026448
DT->november 0.0129076709436
PRP->november 0.0163748365085
RB->november 0.0271389764992
CC->november 0.0610689320175
NP->rejected 0.0814038844651
NN->rejected 0.0830718729341
JJ->rejected 0.0150732590416
IN->rejected 0.0664507398509
VB->rejected 0.0262424660093
TO->rejected 0.0331912000129
DT->rejected 0.00312368877373
PRP->rejected 0.0181891718079
RB->rejected 0.0282943421944
CC->rejected 0.055609659856
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->constitutional 0.0327140318641
NN->constitutional 0.0688298278079
JJ->constitutional 0.0201583330612
IN->constitutional 0.0258026767407
VB->constitutional 0.0284470316012
TO->constitutional 0.00365187709148
DT->constitutional 0.0644331012356
PRP->constitutional 0.0620191820183
RB->constitutional 0.0765649645279
CC->constitutional 0.0198291231268
NP->amendment 0.0384762835957
NN->amendment 0.0222239047375
JJ->amendment 0.0489243272707
IN->amendment 0.019810095467
VB->amendment 0.0172016731379
TO->amendment 0.00351427591472
DT->amendment 0.00797094417396
PRP->amendment 0.0195744113972
RB->amendment 0.0722421695667
CC->amendment 0.037883339162
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->allow 0.0864203209771
NN->allow 0.0463641793326
JJ->allow 0.00563658780002
IN->allow 0.0640044218542
VB->allow 0.0666277227793
TO->allow 0.065829107863
DT->allow 0.0651415069311
PRP->allow 0.0599556089666
RB->allow 0.0537655275177
CC->allow 0.0303878540867
NP->legislators nan
NN->legislators nan
JJ->legislators nan
IN->legislators nan
VB->legislators nan
TO->legislators nan
DT->legislators nan
PRP->legislators nan
RB->legislators nan
CC->legislators nan
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->vote 0.0522454136973
NN->vote 0.0055070140845
JJ->vote 0.0867597029651
IN->vote 0.0387871322135
VB->vote 0.0497049016758
TO->vote 0.0443474047639
DT->vote 0.0402472390111
PRP->vote 0.0422799112763
RB->vote 0.0409946631465
CC->vote 0.0444298935365
NP->on nan
NN->on nan
JJ->on nan
IN->on nan
VB->on nan
TO->on nan
DT->on nan
PRP->on nan
RB->on nan
CC->on nan
NP->pay 0.00437531735466
NN->pay 0.020254097992
JJ->pay 0.00519526571539
IN->pay 0.00332385704889
VB->pay 0.0117325545583
TO->pay 0.0224898667575
DT->pay 0.0199241022364
PRP->pay 0.0134459078144
RB->pay 0.00220072780755
CC->pay 0.0192031689512
NP->raises 0.0240674985047
NN->raises 0.0199998421813
JJ->raises 0.0111362324366
IN->raises 0.0243331507326
VB->raises 0.0273185209006
TO->raises 0.00325441111252
DT->raises 0.00114402159087
PRP->raises 0.00957979709836
RB->raises 0.0126629331818
CC->raises 0.00713258666757
NP->for nan
NN->for nan
JJ->for nan
IN->for nan
VB->for nan
TO->for nan
DT->for nan
PRP->for nan
RB->for nan
CC->for nan
NP->future nan
NN->future nan
JJ->future nan
IN->future nan
VB->future nan
TO->future nan
DT->future nan
PRP->future nan
RB->future nan
CC->future nan
NP->legislature nan
NN->legislature nan
JJ->legislature nan
IN->legislature nan
VB->legislature nan
TO->legislature nan
DT->legislature nan
PRP->legislature nan
RB->legislature nan
CC->legislature nan
NP->sessions 0.0131937126583
NN->sessions 0.0311201058797
JJ->sessions 0.0262884524278
IN->sessions 0.0137560420895
VB->sessions 0.0298949583916
TO->sessions 0.046296648494
DT->sessions 0.017248699023
PRP->sessions 0.0301076070692
RB->sessions 0.00441744706603
CC->sessions 0.00514535543978
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->veteran 0.0649669181691
NN->veteran 0.0291741309698
JJ->veteran 0.0618622228433
IN->veteran 0.0703635541748
VB->veteran 0.0283072083965
TO->veteran 0.0187854557391
DT->veteran 0.0425943612174
PRP->veteran 0.011319607555
RB->veteran 0.0551667142174
CC->veteran 0.0441927952583
NP->jackson 0.000716834974838
NN->jackson 0.0134175189716
JJ->jackson 0.0683049263063
IN->jackson 0.0459242209573
VB->jackson 0.000722513995457
TO->jackson 0.0597658577166
DT->jackson 0.0494985946375
PRP->jackson 0.0487390252587
RB->jackson 0.00510385805557
CC->jackson 0.0555610086856
NP->county nan
NN->county nan
JJ->county nan
IN->county nan
VB->county nan
TO->county nan
DT->county nan
PRP->county nan
RB->county nan
CC->county nan
NP->legislator 0.0311901344365
NN->legislator 0.018052851142
JJ->legislator 0.0296772432539
IN->legislator 0.00867639115236
VB->legislator 0.0414169675372
TO->legislator 0.0377426957865
DT->legislator 0.0320804343711
PRP->legislator 0.0329859226854
RB->legislator 0.0194110808353
CC->legislator 0.0120247809028
NP->will nan
NN->will nan
JJ->will nan
IN->will nan
VB->will nan
TO->will nan
DT->will nan
PRP->will nan
RB->will nan
CC->will nan
NP->ask 0.0262402022277
NN->ask 0.0658978011596
JJ->ask 0.0223938131545
IN->ask 0.0546490554318
VB->ask 0.0111988579308
TO->ask 0.0675836773655
DT->ask 0.0425677877827
PRP->ask 0.0320181966342
RB->ask 0.0151366845762
CC->ask 0.0403906680056
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->georgia 0.0562948761157
NN->georgia 0.0199158945758
JJ->georgia 0.0656372352878
IN->georgia 0.0571843954684
VB->georgia 0.0661916212228
TO->georgia 0.0507408017135
DT->georgia 0.0102122162459
PRP->georgia 0.0608095156439
RB->georgia 0.0043397746562
CC->georgia 0.0742378696014
NP->house 0.0109775015122
NN->house 0.0209606532991
JJ->house 0.00592751277507
IN->house 0.00211088377078
VB->house 0.017827425837
TO->house 0.0228380741224
DT->house 0.00794995040263
PRP->house 0.0264638340666
RB->house 0.00605689134308
CC->house 0.010397535186
NP->monday 0.0129193201179
NN->monday 0.0144320025682
JJ->monday 0.0187063820222
IN->monday 0.0260210035474
VB->monday 0.0244335769439
TO->monday 0.000805387095622
DT->monday 0.0134463067233
PRP->monday 0.0245676124411
RB->monday 0.00540336429138
CC->monday 0.0078723230297
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->back 0.0630329861045
NN->back 0.0272776797954
JJ->back 0.0564991962413
IN->back 0.0521793677854
VB->back 0.0492572865495
TO->back 0.0583973787203
DT->back 0.04992717153
PRP->back 0.0697194132262
RB->back 0.0462576424083
CC->back 0.00911486521834
NP->federal nan
NN->federal nan
JJ->federal nan
IN->federal nan
VB->federal nan
TO->federal nan
DT->federal nan
PRP->federal nan
RB->federal nan
CC->federal nan
NP->aid 0.00811894415182
NN->aid 0.00141920575985
JJ->aid 0.0173848968208
IN->aid 0.048731373693
VB->aid 0.00816762928774
TO->aid 0.0269763464557
DT->aid 0.0306128570842
PRP->aid 0.00967591540607
RB->aid 0.061278272016
CC->aid 0.0564328237589
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->education 0.0183307634298
NN->education 0.00742235264947
JJ->education 0.0149168968651
IN->education 0.0153461504395
VB->education 0.0135478970348
TO->education 0.0128910780644
DT->education 0.0184367735172
PRP->education 0.0134606286396
RB->education 0.0251945929318
CC->education 0.0231110324223
NP->something 0.0769669965303
NN->something 0.0677124269508
JJ->something 0.0132079582845
IN->something 0.0562092120401
VB->something 0.0153647732581
TO->something 0.00874236531453
DT->something 0.0742829460647
PRP->something 0.041178056654
RB->something 0.0388941943831
CC->something 0.0725835333322
NP->it nan
NN->it nan
JJ->it nan
IN->it nan
VB->it nan
TO->it nan
DT->it nan
PRP->it nan
RB->it nan
CC->it nan
NP->has nan
NN->has nan
JJ->has nan
IN->has nan
VB->has nan
TO->has nan
DT->has nan
PRP->has nan
RB->has nan
CC->has nan
NP->consistently 0.0137745301272
NN->consistently 0.0243514582869
JJ->consistently 0.0253954927559
IN->consistently 0.0155660614695
VB->consistently 0.0681575615981
TO->consistently 0.00632329105662
DT->consistently 0.00842952821557
PRP->consistently 0.0635463698515
RB->consistently 0.0663022254423
CC->consistently 0.0307905672813
NP->opposed 0.0492560079026
NN->opposed 0.0177545464569
JJ->opposed 0.0241726652216
IN->opposed 0.0309995247916
VB->opposed 0.0173769448576
TO->opposed 0.0565243614347
DT->opposed 0.0458200408628
PRP->opposed 0.0790509534562
RB->opposed 0.0378071823524
CC->opposed 0.0181998201076
NP->in nan
NN->in nan
JJ->in nan
IN->in nan
VB->in nan
TO->in nan
DT->in nan
PRP->in nan
RB->in nan
CC->in nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->past 0.0495067571374
NN->past 0.0586934443661
JJ->past 0.0327581239174
IN->past 0.0463612455154
VB->past 0.0516736219677
TO->past 0.0100339206703
DT->past 0.0169934017279
PRP->past 0.0497350369745
RB->past 0.0344292400037
CC->past 0.00855348399249
NP-> 0.0576155147741
NN-> 0.0455286921651
JJ-> 0.057286653258
IN-> 0.0177295352845
VB-> 0.0523560097744
TO-> 0.012885165813
DT-> 0.00354078219835
PRP-> 0.0538279702145
RB-> 0.0157681676407
CC-> 0.00696579805246
NP->rep 0.0544559379457
NN->rep 0.0363034810553
JJ->rep 0.0273815577198
IN->rep 0.0294115552505
VB->rep 0.0219265115603
TO->rep 0.0150696946404
DT->rep 0.00378810894432
PRP->rep 0.0138892475923
RB->rep 0.01371130289
CC->rep 0.0413907044381
NP->mac 0.0174529011341
NN->mac 0.0101832184204
JJ->mac 0.0511191691864
IN->mac 0.0119647523478
VB->mac 0.0219885232528
TO->mac 0.0320057992197
DT->mac 0.0369217716003
PRP->mac 0.0480974932569
RB->mac 0.056187426667
CC->mac 0.0284964274334
NP->barber 0.0118690419322
NN->barber 0.0247595020404
JJ->barber 0.0102861518293
IN->barber 0.0168049590871
VB->barber 0.00601984906639
TO->barber 0.00493949784223
DT->barber 0.00308843686565
PRP->barber 0.0112952058539
RB->barber 0.0168781188801
CC->barber 0.0157172663483
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->commerce 0.0535818760553
NN->commerce 0.0500993041208
JJ->commerce 0.00267130260515
IN->commerce 0.0310296516459
VB->commerce 0.00933484781721
TO->commerce 0.0176185372946
DT->commerce 0.0206951512589
PRP->commerce 0.0538144024398
RB->commerce 0.0153127895884
CC->commerce 0.0374459612879
NP->is nan
NN->is nan
JJ->is nan
IN->is nan
VB->is nan
TO->is nan
DT->is nan
PRP->is nan
RB->is nan
CC->is nan
NP->asking 0.0517774406561
NN->asking 0.0515119300483
JJ->asking 0.0558794528041
IN->asking 0.00216789618327
VB->asking 0.0510656962275
TO->asking 0.0490215379914
DT->asking 0.0511180698546
PRP->asking 0.0478457811828
RB->asking 0.058192758523
CC->asking 0.0531259218145
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->house 0.0109775015122
NN->house 0.0209606532991
JJ->house 0.00592751277507
IN->house 0.00211088377078
VB->house 0.017827425837
TO->house 0.0228380741224
DT->house 0.00794995040263
PRP->house 0.0264638340666
RB->house 0.00605689134308
CC->house 0.010397535186
NP->in nan
NN->in nan
JJ->in nan
IN->in nan
VB->in nan
TO->in nan
DT->in nan
PRP->in nan
RB->in nan
CC->in nan
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->privilege 0.0386721564848
NN->privilege 0.0232829644769
JJ->privilege 0.0219520432179
IN->privilege 0.0417512653233
VB->privilege 0.0245915744452
TO->privilege 0.0366633110541
DT->privilege 0.0276551595831
PRP->privilege 0.0408302970197
RB->privilege 0.0112205472009
CC->privilege 0.00517669397134
NP->resolution 0.0144400916659
NN->resolution 0.026137409282
JJ->resolution 0.0141954842595
IN->resolution 0.00366641614403
VB->resolution 0.0114866835774
TO->resolution 0.01330528169
DT->resolution 0.0112996596572
PRP->resolution 0.0127851520626
RB->resolution 0.0129317225519
CC->resolution 0.0239192162008
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->endorse 0.00418314362495
NN->endorse 0.0447133422792
JJ->endorse 0.0567736728895
IN->endorse 0.0429900290861
VB->endorse 0.0179954482048
TO->endorse 0.0497788885283
DT->endorse 0.0589184094255
PRP->endorse 0.0214554040041
RB->endorse 0.0217590139247
CC->endorse 0.0482127887771
NP->increased 0.0566071485231
NN->increased 0.0456810694052
JJ->increased 0.050203951163
IN->increased 0.0213423564479
VB->increased 0.0377889433748
TO->increased 0.0462643406004
DT->increased 0.0670705817054
PRP->increased 0.0500357133952
RB->increased 0.045976476726
CC->increased 0.0733370150991
NP->federal nan
NN->federal nan
JJ->federal nan
IN->federal nan
VB->federal nan
TO->federal nan
DT->federal nan
PRP->federal nan
RB->federal nan
CC->federal nan
NP->support 0.0547278624149
NN->support 0.015676786236
JJ->support 0.034610509024
IN->support 0.0017337515348
VB->support 0.0427142178291
TO->support 0.0323873038601
DT->support 0.0291911532211
PRP->support 0.0103101950788
RB->support 0.0520545369929
CC->support 0.0703935373625
NP->for nan
NN->for nan
JJ->for nan
IN->for nan
VB->for nan
TO->for nan
DT->for nan
PRP->for nan
RB->for nan
CC->for nan
NP->public 0.0282246546279
NN->public 0.0217499054241
JJ->public 0.0101519545391
